city;cases;pop;lat;lon;
Várpalota;955;20303;47.198695;18.138157;
Székelyszabar;27;575;46.0457495;18.6031429;
Vassurány;37;788;47.2863994;16.7055444;
Göd;987;21027;47.6834336;19.1341568;
Torony;94;2003;47.2398927;16.5297139;
Győrzámoly;148;3154;47.7404316;17.5788417;
Egyházaskozár;35;746;46.3313299;18.3166707;
Gyula;1431;30501;46.6438656;21.2747575;
Zirc;317;6760;47.2613795;17.8718188;
Győrújfalu;99;2112;47.7211947;17.6081756;
Sóstófalva;12;256;48.1574067;20.9882307;
Nagykozár;97;2071;46.0655832;18.3197191;
Bokod;103;2201;47.4934128;18.2420786;
Nyírtura;91;1945;48.014414;21.8333843;
Nyírderzs;29;620;47.8967219;22.1614486;
Ordas;21;449;46.6361256;18.9493231;
Csorna;469;10042;47.6134153;17.2497955;
Szeged;7602;162868;46.2546312;20.1486016;
Bátonyterenye;576;12349;48.0060302;19.784895;
Öskü;104;2231;47.1601175;18.0730921;
Arnót;114;2446;48.1338948;20.8592384;
Perbál;98;2104;47.5912451;18.759802;
Pér;120;2577;39.6370289;-82.2044367;
Hegykő;73;1569;47.6217031;16.7940826;
Üröm;365;7845;47.5987004;19.0134262;
Libickozma;2;43;46.522576;17.5333804;
Siójut;30;645;46.8794113;18.1387818;
Fényeslitke;117;2521;48.2709162;22.0990803;
Vép;156;3364;47.2308177;16.723032;
Pusztaberki;7;151;47.9766238;19.1636444;
Fertőszentmiklós;176;3803;47.588634;16.8774268;
Endrőc;16;346;45.9265532;17.7691216;
Mezőberény;475;10280;46.8240312;21.0290937;
Zengővárkony;20;433;46.1706183;18.4318126;
Doboz;196;4245;46.7344029;21.2413729;
Szentborbás;6;130;45.8754578;17.6596185;
Semjén;25;542;48.350286;21.9713484;
Budajenő;97;2103;47.555673;18.8038041;
Vaskút;160;3470;46.111566;18.9854333;
Semjénháza;26;564;46.3973502;16.8476452;
Bonyhád;602;13060;46.2984212;18.532191;
Isaszeg;534;11589;47.5303335;19.4017001;
Szedres;100;2171;46.4744051;18.6848887;
Szerencs;421;9144;48.1633851;21.2010881;
Ugod;62;1347;47.3180364;17.6013972;
Szorgalmatos;48;1043;47.9885971;21.3685792;
Budapest XXIII. kerület;1033;22449;47.3894047;19.1441576;
Gersekarát;31;674;46.9801233;16.7422481;
Perenye;31;674;47.2930426;16.5738157;
Bocfölde;55;1196;46.7788955;16.8440253;
Kosd;114;2479;47.8068226;19.1758423;
Gencsapáti;123;2676;47.2888131;16.5944118;
Törökbálint;657;14297;47.4349579;18.9130312;
Baracska;128;2786;47.2844533;18.7569741;
Nagygyimót;26;566;47.3392131;17.5498464;
Porrogszentkirály;13;283;46.2727845;17.0406746;
Nyalka;22;479;47.5438069;17.8081139;
Leányfalu;179;3899;47.718888;19.0888422;
Kisfalud;33;719;47.5294255;17.0883689;
Harta;158;3444;46.6947199;19.0277119;
Bátaszék;298;6501;46.1933095;18.7241126;
Magyarnádalja;11;240;47.0095755;16.53259;
Szilsárkány;33;720;47.5379828;17.2553253;
Döbörhegy;6;131;46.9912165;16.7023387;
Budapest I. kerület;1197;26149;47.4991627;19.0351431;
Bakonynána;47;1027;47.2819705;17.9692327;
Lórév;15;328;47.1157416;18.8966037;
Értény;34;744;46.6105728;18.1339549;
Kalocsa;736;16106;46.5230265;18.9825043;
Egerág;46;1008;45.981479;18.3048844;
Veszprémgalsa;12;263;47.0928796;17.2668978;
Moha;26;570;47.2430218;18.333815;
Hosszúhetény;158;3464;46.1613038;18.3527689;
Szepetnek;71;1557;46.4335412;16.8994777;
Gyöngyös;1324;29036;47.7799838;19.9291176;
Sümeg;282;6186;46.9784329;17.2811657;
Diósjenő;135;2964;47.9395202;19.0437008;
Nagykálló;443;9730;47.874296;21.8434965;
Debrecen;9215;202402;47.531399;21.6259782;
Györe;30;659;46.2960635;18.3987751;
Kiskőrös;646;14202;46.6206925;19.2836756;
Röszke;163;3584;46.1872427;20.0354983;
Acsalag;22;484;47.6752768;17.1988877;
Garáb;2;44;47.9777174;19.6384458;
Gelsesziget;12;264;46.5660955;16.988318;
Jósvafő;12;264;48.482384;20.5525283;
