település;fertőzöttek;népesség;;;;;;;;;;;;;;;;;;;;;;;
Telkibánya;18;596;;;;;;;;;;;;;;;;;;;;;;;
Nemesszentandrás;8;265;;;;;;;;;;;;;;;;;;;;;;;
Kunhegyes;236;7 819;;;;;;;;;;;;;;;;;;;;;;;
Fót;618;20 479;;;;;;;;;;;;;;;;;;;;;;;
Cserépfalu;29;961;;;;;;;;;;;;;;;;;;;;;;;
Boda;13;431;;;;;;;;;;;;;;;;;;;;;;;
Pétervására;66;2 189;;;;;;;;;;;;;;;;;;;;;;;
Dabas;517;17 154;;;;;;;;;;;;;;;;;;;;;;;
Petrikeresztúr;11;365;;;;;;;;;;;;;;;;;;;;;;;
Zalaboldogfa;11;365;;;;;;;;;;;;;;;;;;;;;;;
Győrladamér;55;1 826;;;;;;;;;;;;;;;;;;;;;;;
Létavértes;225;7 478;;;;;;;;;;;;;;;;;;;;;;;
Kocs;78;2 594;;;;;;;;;;;;;;;;;;;;;;;
Áporka;38;1 264;;;;;;;;;;;;;;;;;;;;;;;
Cún;7;233;;;;;;;;;;;;;;;;;;;;;;;
Ibafa;7;233;;;;;;;;;;;;;;;;;;;;;;;
Jánoshida;77;2 563;;;;;;;;;;;;;;;;;;;;;;;
Papkeszi;49;1 631;;;;;;;;;;;;;;;;;;;;;;;
Sajóbábony;82;2 730;;;;;;;;;;;;;;;;;;;;;;;
Vácegres;27;899;;;;;;;;;;;;;;;;;;;;;;;
Rácalmás;143;4 766;;;;;;;;;;;;;;;;;;;;;;;
Perkáta;121;4 033;;;;;;;;;;;;;;;;;;;;;;;
Bagamér;78;2 603;;;;;;;;;;;;;;;;;;;;;;;
Alsóbogát;8;267;;;;;;;;;;;;;;;;;;;;;;;
Somogyaszaló;23;768;;;;;;;;;;;;;;;;;;;;;;;
Iszkáz;10;334;;;;;;;;;;;;;;;;;;;;;;;
Borsodszentgyörgy;36;1 203;;;;;;;;;;;;;;;;;;;;;;;
Egerlövő;16;535;;;;;;;;;;;;;;;;;;;;;;;
Fedémes;9;301;;;;;;;;;;;;;;;;;;;;;;;
Rábakecöl;21;703;;;;;;;;;;;;;;;;;;;;;;;
Som;21;703;;;;;;;;;;;;;;;;;;;;;;;
Tápiószőlős;91;3 048;;;;;;;;;;;;;;;;;;;;;;;
Csesztve;10;335;;;;;;;;;;;;;;;;;;;;;;;
Újlőrincfalva;6;201;;;;;;;;;;;;;;;;;;;;;;;
Vindornyafok;4;134;;;;;;;;;;;;;;;;;;;;;;;
Parasznya;35;1 173;;;;;;;;;;;;;;;;;;;;;;;
Radostyán;17;570;;;;;;;;;;;;;;;;;;;;;;;
Bárdudvarnok;35;1 174;;;;;;;;;;;;;;;;;;;;;;;
Tök;42;1 409;;;;;;;;;;;;;;;;;;;;;;;
Szegi;9;302;;;;;;;;;;;;;;;;;;;;;;;
Bocskaikert;106;3 557;;;;;;;;;;;;;;;;;;;;;;;
Kakucs;93;3 121;;;;;;;;;;;;;;;;;;;;;;;
Somogysárd;39;1 309;;;;;;;;;;;;;;;;;;;;;;;
Baskó;5;168;;;;;;;;;;;;;;;;;;;;;;;
Vaspör;10;336;;;;;;;;;;;;;;;;;;;;;;;
Bánhorváti;41;1 378;;;;;;;;;;;;;;;;;;;;;;;
Diósviszló;21;706;;;;;;;;;;;;;;;;;;;;;;;
Egerszalók;58;1 951;;;;;;;;;;;;;;;;;;;;;;;
Csebény;3;101;;;;;;;;;;;;;;;;;;;;;;;
Szigetszentmárton;70;2 364;;;;;;;;;;;;;;;;;;;;;;;
Harkány;141;4 762;;;;;;;;;;;;;;;;;;;;;;;
Agyagosszergény;27;912;;;;;;;;;;;;;;;;;;;;;;;
Csömend;9;304;;;;;;;;;;;;;;;;;;;;;;;
Kisharsány;15;507;;;;;;;;;;;;;;;;;;;;;;;
Sámod;6;203;;;;;;;;;;;;;;;;;;;;;;;
Andrásfa;7;237;;;;;;;;;;;;;;;;;;;;;;;
Gyömöre;37;1 253;;;;;;;;;;;;;;;;;;;;;;;
Kemenesmihályfa;15;508;;;;;;;;;;;;;;;;;;;;;;;
Simonfa;11;373;;;;;;;;;;;;;;;;;;;;;;;
Bánréve;37;1 256;;;;;;;;;;;;;;;;;;;;;;;
Uszód;28;951;;;;;;;;;;;;;;;;;;;;;;;
Bonyhádvarasd;13;442;;;;;;;;;;;;;;;;;;;;;;;
Kelevíz;10;340;;;;;;;;;;;;;;;;;;;;;;;
Kenéz;8;272;;;;;;;;;;;;;;;;;;;;;;;
Nagyrákos;8;272;;;;;;;;;;;;;;;;;;;;;;;
Rábcakapi;5;170;;;;;;;;;;;;;;;;;;;;;;;
Somogysimonyi;3;102;;;;;;;;;;;;;;;;;;;;;;;
Udvar;4;136;;;;;;;;;;;;;;;;;;;;;;;
Tokod;124;4 221;;;;;;;;;;;;;;;;;;;;;;;
Gátér;27;920;;;;;;;;;;;;;;;;;;;;;;;
Héreg;31;1 057;;;;;;;;;;;;;;;;;;;;;;;
Máza;36;1 228;;;;;;;;;;;;;;;;;;;;;;;
Bakonybánk;13;444;;;;;;;;;;;;;;;;;;;;;;;
Egercsehi;39;1 332;;;;;;;;;;;;;;;;;;;;;;;
Rákóczibánya;19;649;;;;;;;;;;;;;;;;;;;;;;;
Kölesd;44;1 503;;;;;;;;;;;;;;;;;;;;;;;
Magyargéc;25;854;;;;;;;;;;;;;;;;;;;;;;;
Bénye;37;1 264;;;;;;;;;;;;;;;;;;;;;;;
Kacorlak;6;205;;;;;;;;;;;;;;;;;;;;;;;
Dunaszentpál;22;752;;;;;;;;;;;;;;;;;;;;;;;
Tabdi;32;1 094;;;;;;;;;;;;;;;;;;;;;;;
Százhalombatta;557;19 057;;;;;;;;;;;;;;;;;;;;;;;
Bazsi;13;445;;;;;;;;;;;;;;;;;;;;;;;
Nagycserkesz;51;1 746;;;;;;;;;;;;;;;;;;;;;;;
Vasszilvágy;12;411;;;;;;;;;;;;;;;;;;;;;;;
Veszprémvarsány;31;1 062;;;;;;;;;;;;;;;;;;;;;;;
Pusztadobos;45;1 542;;;;;;;;;;;;;;;;;;;;;;;
Keszőhidegkút;6;206;;;;;;;;;;;;;;;;;;;;;;;
Kesztölc;80;2 747;;;;;;;;;;;;;;;;;;;;;;;
Mecseknádasd;46;1 581;;;;;;;;;;;;;;;;;;;;;;;
Zomba;59;2 029;;;;;;;;;;;;;;;;;;;;;;;
Muraszemenye;15;516;;;;;;;;;;;;;;;;;;;;;;;
Nyírjákó;25;860;;;;;;;;;;;;;;;;;;;;;;;
Geszt;23;793;;;;;;;;;;;;;;;;;;;;;;;
Kisnána;29;1 000;;;;;;;;;;;;;;;;;;;;;;;
Abaújalpár;2;69;;;;;;;;;;;;;;;;;;;;;;;
Szilvásszentmárton;6;207;;;;;;;;;;;;;;;;;;;;;;;
Újhartyán;81;2 795;;;;;;;;;;;;;;;;;;;;;;;
Tiszakanyár;48;1 658;;;;;;;;;;;;;;;;;;;;;;;
Tyukod;59;2 039;;;;;;;;;;;;;;;;;;;;;;;
Hajmás;7;242;;;;;;;;;;;;;;;;;;;;;;;
Belvárdgyula;12;415;;;;;;;;;;;;;;;;;;;;;;;
Okorág;5;173;;;;;;;;;;;;;;;;;;;;;;;
Somogyaracs;5;173;;;;;;;;;;;;;;;;;;;;;;;
Tiszavárkony;45;1 557;;;;;;;;;;;;;;;;;;;;;;;
Pecöl;23;796;;;;;;;;;;;;;;;;;;;;;;;
Visznek;31;1 073;;;;;;;;;;;;;;;;;;;;;;;
Sárisáp;81;2 805;;;;;;;;;;;;;;;;;;;;;;;
Kisberzseny;3;104;;;;;;;;;;;;;;;;;;;;;;;
Magyartelek;6;208;;;;;;;;;;;;;;;;;;;;;;;
Pécsbagota;3;104;;;;;;;;;;;;;;;;;;;;;;;
Trizs;6;208;;;;;;;;;;;;;;;;;;;;;;;
Zsombó;102;3 536;;;;;;;;;;;;;;;;;;;;;;;
Szuhogy;32;1 110;;;;;;;;;;;;;;;;;;;;;;;
Bogyoszló;18;625;;;;;;;;;;;;;;;;;;;;;;;
Nekézseny;19;660;;;;;;;;;;;;;;;;;;;;;;;
Tápióság;80;2 780;;;;;;;;;;;;;;;;;;;;;;;
Lukácsháza;32;1 114;;;;;;;;;;;;;;;;;;;;;;;
Kálmánháza;54;1 882;;;;;;;;;;;;;;;;;;;;;;;
Laskod;27;941;;;;;;;;;;;;;;;;;;;;;;;
Újtelek;11;384;;;;;;;;;;;;;;;;;;;;;;;
Tiszakécske;328;11 453;;;;;;;;;;;;;;;;;;;;;;;
Hodász;97;3 390;;;;;;;;;;;;;;;;;;;;;;;
Cikó;26;910;;;;;;;;;;;;;;;;;;;;;;;
Pusztaederics;5;175;;;;;;;;;;;;;;;;;;;;;;;
Tagyon;3;105;;;;;;;;;;;;;;;;;;;;;;;
Viszló;2;70;;;;;;;;;;;;;;;;;;;;;;;
Zabar;14;490;;;;;;;;;;;;;;;;;;;;;;;
Pusztavám;72;2 522;;;;;;;;;;;;;;;;;;;;;;;
Máriahalom;19;666;;;;;;;;;;;;;;;;;;;;;;;
Dencsháza;17;596;;;;;;;;;;;;;;;;;;;;;;;
Malomsok;15;526;;;;;;;;;;;;;;;;;;;;;;;
Erdőkertes;247;8 662;;;;;;;;;;;;;;;;;;;;;;;
Bácsalmás;190;6 665;;;;;;;;;;;;;;;;;;;;;;;
Fácánkert;20;702;;;;;;;;;;;;;;;;;;;;;;;
Kunmadaras;158;5 549;;;;;;;;;;;;;;;;;;;;;;;
Károlyháza;16;562;;;;;;;;;;;;;;;;;;;;;;;
Tápiógyörgye;101;3 548;;;;;;;;;;;;;;;;;;;;;;;
Bükkszenterzsébet;29;1 019;;;;;;;;;;;;;;;;;;;;;;;
Komló;708;24 886;;;;;;;;;;;;;;;;;;;;;;;
Paszab;37;1 301;;;;;;;;;;;;;;;;;;;;;;;
Szemenye;10;352;;;;;;;;;;;;;;;;;;;;;;;
Balatonújlak;14;493;;;;;;;;;;;;;;;;;;;;;;;
Udvari;9;317;;;;;;;;;;;;;;;;;;;;;;;
Kocsér;51;1 797;;;;;;;;;;;;;;;;;;;;;;;
Szabadegyháza;61;2 150;;;;;;;;;;;;;;;;;;;;;;;
Bezi;15;529;;;;;;;;;;;;;;;;;;;;;;;
Táp;21;743;;;;;;;;;;;;;;;;;;;;;;;
Tiszatardos;7;248;;;;;;;;;;;;;;;;;;;;;;;
Tekenye;13;461;;;;;;;;;;;;;;;;;;;;;;;
Sajólád;85;3 015;;;;;;;;;;;;;;;;;;;;;;;
Borsodivánka;19;674;;;;;;;;;;;;;;;;;;;;;;;
Tiszanagyfalu;54;1 916;;;;;;;;;;;;;;;;;;;;;;;
Hosztót;2;71;;;;;;;;;;;;;;;;;;;;;;;
Kemenesszentmárton;6;213;;;;;;;;;;;;;;;;;;;;;;;
Kunszentmárton;228;8 105;;;;;;;;;;;;;;;;;;;;;;;
Tetétlen;38;1 351;;;;;;;;;;;;;;;;;;;;;;;
Dömös;34;1 209;;;;;;;;;;;;;;;;;;;;;;;
Nyírkércs;22;783;;;;;;;;;;;;;;;;;;;;;;;
Bag;111;3 957;;;;;;;;;;;;;;;;;;;;;;;
Gönc;57;2 032;;;;;;;;;;;;;;;;;;;;;;;
Mikebuda;21;749;;;;;;;;;;;;;;;;;;;;;;;
Lepsény;89;3 179;;;;;;;;;;;;;;;;;;;;;;;
Hegyhátsál;4;143;;;;;;;;;;;;;;;;;;;;;;;
Kübekháza;44;1 573;;;;;;;;;;;;;;;;;;;;;;;
Pócspetri;48;1 716;;;;;;;;;;;;;;;;;;;;;;;
Véménd;40;1 430;;;;;;;;;;;;;;;;;;;;;;;
Fehértó;14;501;;;;;;;;;;;;;;;;;;;;;;;
Kiskunmajsa;323;11 562;;;;;;;;;;;;;;;;;;;;;;;
Monok;42;1 504;;;;;;;;;;;;;;;;;;;;;;;
Nemesgulács;28;1 003;;;;;;;;;;;;;;;;;;;;;;;
Feked;6;215;;;;;;;;;;;;;;;;;;;;;;;
Kisherend;6;215;;;;;;;;;;;;;;;;;;;;;;;
Váraszó;13;466;;;;;;;;;;;;;;;;;;;;;;;
Dunapataj;88;3 155;;;;;;;;;;;;;;;;;;;;;;;
Sántos;14;502;;;;;;;;;;;;;;;;;;;;;;;
Tiszaigar;23;825;;;;;;;;;;;;;;;;;;;;;;;
Bükkábrány;46;1 652;;;;;;;;;;;;;;;;;;;;;;;
Dég;61;2 191;;;;;;;;;;;;;;;;;;;;;;;
Járdánháza;50;1 797;;;;;;;;;;;;;;;;;;;;;;;
Jászjákóhalma;81;2 913;;;;;;;;;;;;;;;;;;;;;;;
Emőd;139;4 999;;;;;;;;;;;;;;;;;;;;;;;
Hejőkeresztúr;29;1 044;;;;;;;;;;;;;;;;;;;;;;;
Páli;13;468;;;;;;;;;;;;;;;;;;;;;;;
Szár;47;1 692;;;;;;;;;;;;;;;;;;;;;;;
Kisújszállás;307;11 063;;;;;;;;;;;;;;;;;;;;;;;
Nagyhalász;160;5 773;;;;;;;;;;;;;;;;;;;;;;;
Árpás;7;253;;;;;;;;;;;;;;;;;;;;;;;
Tevel;38;1 374;;;;;;;;;;;;;;;;;;;;;;;
Szirák;31;1 121;;;;;;;;;;;;;;;;;;;;;;;
Méhtelek;22;796;;;;;;;;;;;;;;;;;;;;;;;
Bakonyszombathely;38;1 375;;;;;;;;;;;;;;;;;;;;;;;
Kunszállás;48;1 737;;;;;;;;;;;;;;;;;;;;;;;
Legyesbénye;41;1 487;;;;;;;;;;;;;;;;;;;;;;;
Apagy;67;2 431;;;;;;;;;;;;;;;;;;;;;;;
Csörötnek;24;871;;;;;;;;;;;;;;;;;;;;;;;
Szigetújfalu;61;2 214;;;;;;;;;;;;;;;;;;;;;;;
Nyírmártonfalva;56;2 033;;;;;;;;;;;;;;;;;;;;;;;
Ömböly;13;472;;;;;;;;;;;;;;;;;;;;;;;
Tófej;19;690;;;;;;;;;;;;;;;;;;;;;;;
Sajóvelezd;22;799;;;;;;;;;;;;;;;;;;;;;;;
Borsfa;20;727;;;;;;;;;;;;;;;;;;;;;;;
Szentantalfa;14;509;;;;;;;;;;;;;;;;;;;;;;;
Gesztely;76;2 764;;;;;;;;;;;;;;;;;;;;;;;
Csabaszabadi;8;291;;;;;;;;;;;;;;;;;;;;;;;
Csörnyeföld;12;437;;;;;;;;;;;;;;;;;;;;;;;
Kajárpéc;35;1 275;;;;;;;;;;;;;;;;;;;;;;;
Raposka;7;255;;;;;;;;;;;;;;;;;;;;;;;
Zalaerdőd;7;255;;;;;;;;;;;;;;;;;;;;;;;
Petneháza;49;1 787;;;;;;;;;;;;;;;;;;;;;;;
Tápióbicske;100;3 647;;;;;;;;;;;;;;;;;;;;;;;
Csolnok;89;3 248;;;;;;;;;;;;;;;;;;;;;;;
Kerkáskápolna;2;73;;;;;;;;;;;;;;;;;;;;;;;
Nemesbük;22;803;;;;;;;;;;;;;;;;;;;;;;;
Nemeskeresztúr;8;292;;;;;;;;;;;;;;;;;;;;;;;
Orfalu;2;73;;;;;;;;;;;;;;;;;;;;;;;
Szinpetri;6;219;;;;;;;;;;;;;;;;;;;;;;;
Magyarlak;22;804;;;;;;;;;;;;;;;;;;;;;;;
Kótaj;126;4 607;;;;;;;;;;;;;;;;;;;;;;;
Bőcs;76;2 780;;;;;;;;;;;;;;;;;;;;;;;
Balatonszepezd;12;439;;;;;;;;;;;;;;;;;;;;;;;
Büttös;5;183;;;;;;;;;;;;;;;;;;;;;;;
Magyarszék;28;1 025;;;;;;;;;;;;;;;;;;;;;;;
Beregsurány;29;1 062;;;;;;;;;;;;;;;;;;;;;;;
Kurityán;43;1 575;;;;;;;;;;;;;;;;;;;;;;;
Pusztamérges;30;1 099;;;;;;;;;;;;;;;;;;;;;;;
Tiszabercel;51;1 869;;;;;;;;;;;;;;;;;;;;;;;
Balatonlelle;133;4 875;;;;;;;;;;;;;;;;;;;;;;;
Kartal;163;5 977;;;;;;;;;;;;;;;;;;;;;;;
Dunafalva;25;917;;;;;;;;;;;;;;;;;;;;;;;
Ópályi;89;3 265;;;;;;;;;;;;;;;;;;;;;;;
Jászivány;11;404;;;;;;;;;;;;;;;;;;;;;;;
Kereki;15;551;;;;;;;;;;;;;;;;;;;;;;;
Alacska;20;735;;;;;;;;;;;;;;;;;;;;;;;
Vértesacsa;51;1 875;;;;;;;;;;;;;;;;;;;;;;;
Koppányszántó;9;331;;;;;;;;;;;;;;;;;;;;;;;
Bükkösd;31;1 141;;;;;;;;;;;;;;;;;;;;;;;
Mezőfalva;129;4 749;;;;;;;;;;;;;;;;;;;;;;;
Törtel;115;4 234;;;;;;;;;;;;;;;;;;;;;;;
Zalatárnok;17;626;;;;;;;;;;;;;;;;;;;;;;;
Ipolytarnóc;12;442;;;;;;;;;;;;;;;;;;;;;;;
Szegilong;7;258;;;;;;;;;;;;;;;;;;;;;;;
Balmazújváros;478;17 618;;;;;;;;;;;;;;;;;;;;;;;
Nemessándorháza;9;332;;;;;;;;;;;;;;;;;;;;;;;
Kamut;29;1 070;;;;;;;;;;;;;;;;;;;;;;;
Dombrád;111;4 100;;;;;;;;;;;;;;;;;;;;;;;
Nagynyárád;19;702;;;;;;;;;;;;;;;;;;;;;;;
Tiszatenyő;45;1 663;;;;;;;;;;;;;;;;;;;;;;;
Hidas;57;2 107;;;;;;;;;;;;;;;;;;;;;;;
Csér;1;37;;;;;;;;;;;;;;;;;;;;;;;
Darvas;15;555;;;;;;;;;;;;;;;;;;;;;;;
Ziliz;11;407;;;;;;;;;;;;;;;;;;;;;;;
Szabadbattyán;129;4 774;;;;;;;;;;;;;;;;;;;;;;;
Csincse;15;557;;;;;;;;;;;;;;;;;;;;;;;
Tiszasüly;41;1 523;;;;;;;;;;;;;;;;;;;;;;;
Almamellék;12;448;;;;;;;;;;;;;;;;;;;;;;;
Csitár;11;411;;;;;;;;;;;;;;;;;;;;;;;
Hőgyész;75;2 803;;;;;;;;;;;;;;;;;;;;;;;
Nagyrév;18;673;;;;;;;;;;;;;;;;;;;;;;;
Szakácsi;5;187;;;;;;;;;;;;;;;;;;;;;;;
Beret;8;300;;;;;;;;;;;;;;;;;;;;;;;
Debercsény;2;75;;;;;;;;;;;;;;;;;;;;;;;
Tiszajenő;41;1 539;;;;;;;;;;;;;;;;;;;;;;;
Diósberény;9;338;;;;;;;;;;;;;;;;;;;;;;;
Kiskinizs;9;338;;;;;;;;;;;;;;;;;;;;;;;
Adács;70;2 629;;;;;;;;;;;;;;;;;;;;;;;
Cserszegtomaj;89;3 343;;;;;;;;;;;;;;;;;;;;;;;
Erdőhorváti;16;601;;;;;;;;;;;;;;;;;;;;;;;
Nagyrábé;57;2 142;;;;;;;;;;;;;;;;;;;;;;;
Jászkarajenő;71;2 670;;;;;;;;;;;;;;;;;;;;;;;
Tiszaörs;36;1 354;;;;;;;;;;;;;;;;;;;;;;;
Tiszakürt;37;1 392;;;;;;;;;;;;;;;;;;;;;;;
Őr;41;1 546;;;;;;;;;;;;;;;;;;;;;;;
Villánykövesd;7;264;;;;;;;;;;;;;;;;;;;;;;;
Pethőhenye;11;415;;;;;;;;;;;;;;;;;;;;;;;
Gamás;20;755;;;;;;;;;;;;;;;;;;;;;;;
Sárszentágota;36;1 360;;;;;;;;;;;;;;;;;;;;;;;
Martonvásár;152;5 743;;;;;;;;;;;;;;;;;;;;;;;
Zámoly;63;2 382;;;;;;;;;;;;;;;;;;;;;;;
Hajdúdorog;235;8 900;;;;;;;;;;;;;;;;;;;;;;;
Balatonfőkajár;36;1 365;;;;;;;;;;;;;;;;;;;;;;;
Mernye;35;1 328;;;;;;;;;;;;;;;;;;;;;;;
Ásotthalom;106;4 023;;;;;;;;;;;;;;;;;;;;;;;
Gősfa;8;304;;;;;;;;;;;;;;;;;;;;;;;
Nyőgér;9;342;;;;;;;;;;;;;;;;;;;;;;;
Jenő;34;1 293;;;;;;;;;;;;;;;;;;;;;;;
Sáregres;18;685;;;;;;;;;;;;;;;;;;;;;;;
Vál;68;2 588;;;;;;;;;;;;;;;;;;;;;;;
Karmacs;20;762;;;;;;;;;;;;;;;;;;;;;;;
Egyek;140;5 335;;;;;;;;;;;;;;;;;;;;;;;
Zádor;9;343;;;;;;;;;;;;;;;;;;;;;;;
Sárrétudvari;77;2 935;;;;;;;;;;;;;;;;;;;;;;;
Hosszúpályi;156;5 947;;;;;;;;;;;;;;;;;;;;;;;
Bakóca;8;305;;;;;;;;;;;;;;;;;;;;;;;
Görgeteg;30;1 144;;;;;;;;;;;;;;;;;;;;;;;
Nagykarácsony;37;1 411;;;;;;;;;;;;;;;;;;;;;;;
Cák;7;267;;;;;;;;;;;;;;;;;;;;;;;
Vászoly;7;267;;;;;;;;;;;;;;;;;;;;;;;
Lajoskomárom;58;2 214;;;;;;;;;;;;;;;;;;;;;;;
Maráza;5;191;;;;;;;;;;;;;;;;;;;;;;;
Zamárdi;69;2 637;;;;;;;;;;;;;;;;;;;;;;;
Sződ;79;3 020;;;;;;;;;;;;;;;;;;;;;;;
Ráckeresztúr;92;3 521;;;;;;;;;;;;;;;;;;;;;;;
Bükkaranyos;40;1 531;;;;;;;;;;;;;;;;;;;;;;;
Gyulaj;25;958;;;;;;;;;;;;;;;;;;;;;;;
Fulókércs;11;422;;;;;;;;;;;;;;;;;;;;;;;
Berzék;27;1 036;;;;;;;;;;;;;;;;;;;;;;;
Bátya;54;2 073;;;;;;;;;;;;;;;;;;;;;;;
Bakonyszentlászló;46;1 766;;;;;;;;;;;;;;;;;;;;;;;
Németfalu;5;192;;;;;;;;;;;;;;;;;;;;;;;
Somogyegres;5;192;;;;;;;;;;;;;;;;;;;;;;;
Csombárd;7;269;;;;;;;;;;;;;;;;;;;;;;;
Romonya;14;538;;;;;;;;;;;;;;;;;;;;;;;
Kunadacs;39;1 499;;;;;;;;;;;;;;;;;;;;;;;
Zalahaláp;33;1 269;;;;;;;;;;;;;;;;;;;;;;;
Katymár;48;1 848;;;;;;;;;;;;;;;;;;;;;;;
Sirok;46;1 771;;;;;;;;;;;;;;;;;;;;;;;
Kamond;11;424;;;;;;;;;;;;;;;;;;;;;;;
Egervölgy;9;347;;;;;;;;;;;;;;;;;;;;;;;
Múcsony;77;2 969;;;;;;;;;;;;;;;;;;;;;;;
Nagydorog;69;2 661;;;;;;;;;;;;;;;;;;;;;;;
Dánszentmiklós;75;2 893;;;;;;;;;;;;;;;;;;;;;;;
Szalapa;5;193;;;;;;;;;;;;;;;;;;;;;;;
Baks;52;2 008;;;;;;;;;;;;;;;;;;;;;;;
Nábrád;24;927;;;;;;;;;;;;;;;;;;;;;;;
Magyarkeresztúr;12;464;;;;;;;;;;;;;;;;;;;;;;;
Szabadszentkirály;21;812;;;;;;;;;;;;;;;;;;;;;;;
Zalaigrice;3;116;;;;;;;;;;;;;;;;;;;;;;;
Szamossályi;19;735;;;;;;;;;;;;;;;;;;;;;;;
Ászár;45;1 741;;;;;;;;;;;;;;;;;;;;;;;
Kétegyháza;95;3 678;;;;;;;;;;;;;;;;;;;;;;;
Cece;67;2 594;;;;;;;;;;;;;;;;;;;;;;;
Varászló;4;155;;;;;;;;;;;;;;;;;;;;;;;
Gégény;50;1 938;;;;;;;;;;;;;;;;;;;;;;;
Szelevény;26;1 009;;;;;;;;;;;;;;;;;;;;;;;
Ganna;7;272;;;;;;;;;;;;;;;;;;;;;;;
Heresznye;7;272;;;;;;;;;;;;;;;;;;;;;;;
Kiskorpád;23;894;;;;;;;;;;;;;;;;;;;;;;;
Mikosszéplak;8;311;;;;;;;;;;;;;;;;;;;;;;;
Borsodbóta;22;856;;;;;;;;;;;;;;;;;;;;;;;
Szank;62;2 414;;;;;;;;;;;;;;;;;;;;;;;
Akasztó;85;3 310;;;;;;;;;;;;;;;;;;;;;;;
Kánó;4;156;;;;;;;;;;;;;;;;;;;;;;;
Kóspallag;19;741;;;;;;;;;;;;;;;;;;;;;;;
Nemeshetés;7;273;;;;;;;;;;;;;;;;;;;;;;;
Nyomár;8;312;;;;;;;;;;;;;;;;;;;;;;;
Szólád;15;586;;;;;;;;;;;;;;;;;;;;;;;
Borsosberény;24;938;;;;;;;;;;;;;;;;;;;;;;;
Tolnanémedi;26;1 018;;;;;;;;;;;;;;;;;;;;;;;
Martonfa;6;235;;;;;;;;;;;;;;;;;;;;;;;
Bekölce;17;666;;;;;;;;;;;;;;;;;;;;;;;
Galgamácsa;49;1 920;;;;;;;;;;;;;;;;;;;;;;;
Kálló;40;1 568;;;;;;;;;;;;;;;;;;;;;;;
Cserkút;16;628;;;;;;;;;;;;;;;;;;;;;;;
Hetvehely;12;471;;;;;;;;;;;;;;;;;;;;;;;
Korlát;8;314;;;;;;;;;;;;;;;;;;;;;;;
Zalaszentlőrinc;7;275;;;;;;;;;;;;;;;;;;;;;;;
Meződ;3;118;;;;;;;;;;;;;;;;;;;;;;;
Pécsdevecser;3;118;;;;;;;;;;;;;;;;;;;;;;;
Tormafölde;9;354;;;;;;;;;;;;;;;;;;;;;;;
Pálmonostora;47;1 849;;;;;;;;;;;;;;;;;;;;;;;
Becsvölgye;20;787;;;;;;;;;;;;;;;;;;;;;;;
Drávafok;14;551;;;;;;;;;;;;;;;;;;;;;;;
Csenger;133;5 235;;;;;;;;;;;;;;;;;;;;;;;
Győrvár;16;630;;;;;;;;;;;;;;;;;;;;;;;
Nagyecsed;164;6 467;;;;;;;;;;;;;;;;;;;;;;;
Vámospércs;141;5 562;;;;;;;;;;;;;;;;;;;;;;;
Magyarszecsőd;11;434;;;;;;;;;;;;;;;;;;;;;;;
Újcsanálos;22;868;;;;;;;;;;;;;;;;;;;;;;;
Tiszaadony;17;671;;;;;;;;;;;;;;;;;;;;;;;
Kerkaszentkirály;6;237;;;;;;;;;;;;;;;;;;;;;;;
Mátraszentimre;12;474;;;;;;;;;;;;;;;;;;;;;;;
Románd;8;316;;;;;;;;;;;;;;;;;;;;;;;
Tarnaméra;41;1 622;;;;;;;;;;;;;;;;;;;;;;;
Simaság;14;554;;;;;;;;;;;;;;;;;;;;;;;
Nagyvarsány;36;1 426;;;;;;;;;;;;;;;;;;;;;;;
Somberek;37;1 466;;;;;;;;;;;;;;;;;;;;;;;
Nemeskocs;8;317;;;;;;;;;;;;;;;;;;;;;;;
Szászfa;3;119;;;;;;;;;;;;;;;;;;;;;;;
Pusztaszabolcs;153;6 071;;;;;;;;;;;;;;;;;;;;;;;
Sarkadkeresztúr;38;1 508;;;;;;;;;;;;;;;;;;;;;;;
Nagyvisnyó;24;955;;;;;;;;;;;;;;;;;;;;;;;
Orgovány;87;3 463;;;;;;;;;;;;;;;;;;;;;;;
Solt;162;6 468;;;;;;;;;;;;;;;;;;;;;;;
Bár;14;559;;;;;;;;;;;;;;;;;;;;;;;
Jánosháza;62;2 479;;;;;;;;;;;;;;;;;;;;;;;
Alsóörs;47;1 880;;;;;;;;;;;;;;;;;;;;;;;
Szakony;11;440;;;;;;;;;;;;;;;;;;;;;;;
Szárász;1;40;;;;;;;;;;;;;;;;;;;;;;;
Vásárosfalu;4;160;;;;;;;;;;;;;;;;;;;;;;;
Szigliget;23;921;;;;;;;;;;;;;;;;;;;;;;;
Balatonőszöd;14;561;;;;;;;;;;;;;;;;;;;;;;;
Csesznek;13;521;;;;;;;;;;;;;;;;;;;;;;;
Nagycsécs;20;802;;;;;;;;;;;;;;;;;;;;;;;
Boldog;74;2 977;;;;;;;;;;;;;;;;;;;;;;;
Árpádhalom;12;483;;;;;;;;;;;;;;;;;;;;;;;
Mesterháza;4;161;;;;;;;;;;;;;;;;;;;;;;;
Ládbesenyő;7;282;;;;;;;;;;;;;;;;;;;;;;;
Inke;31;1 251;;;;;;;;;;;;;;;;;;;;;;;
Somogyhárságy;11;444;;;;;;;;;;;;;;;;;;;;;;;
